"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2026","429,454","429,454","429,454","429,454","","0.37%"
"07/07/2026","427,851","427,851","427,851","427,851","","0.29%"
"07/06/2026","426,604","426,604","426,604","426,604","","0.83%"
"07/03/2026","423,100","423,100","423,100","423,100","","1.25%"
"07/02/2026","417,897","417,897","417,897","417,897","","-0.35%"
"07/01/2026","419,380","419,380","419,380","419,380","","-0.02%"
"06/30/2026","419,444","419,444","419,444","419,444","","0.59%"
"06/29/2026","416,983","416,983","416,983","416,983","38.56M","-0.34%"
"06/26/2026","418,413","418,413","418,413","418,413","21.23M","0.47%"
"06/25/2026","416,447","416,447","416,447","416,447","23.14M","-0.06%"
"06/24/2026","416,711","416,711","416,711","416,711","24.19M","-0.49%"
"06/23/2026","418,776","418,776","418,776","418,776","9.25M","0.62%"
"06/22/2026","416,205","416,205","416,205","416,205","7.13M","-0.68%"
"06/19/2026","419,074","419,074","419,074","419,074","8.11M","2.60%"
"06/18/2026","408,441","408,441","408,441","408,441","30.04M","-0.25%"
"06/17/2026","409,450","409,450","409,450","409,450","11.60M","0.63%"
"06/16/2026","406,881","406,881","406,881","406,881","6.79M","1.22%"
"06/15/2026","401,958","401,958","401,958","401,958","12.50M","-0.41%"
"06/12/2026","403,624","403,624","403,624","403,624","14.78M","0.72%"
"06/11/2026","400,725","400,725","400,725","400,725","9.22M","-0.29%"
"06/10/2026","401,902","401,902","401,902","401,902","14.61M","0.33%"
"06/09/2026","400,586","400,586","400,586","400,586","13.90M","0.23%"
"06/08/2026","399,650","399,650","399,650","399,650","10.70M","0.90%"
"06/05/2026","396,088","396,088","396,088","396,088","15.04M","-0.55%"
"06/04/2026","398,274","398,274","398,274","398,274","11.74M","0.22%"
"06/03/2026","397,419","397,419","397,419","397,419","9.65M","-0.58%"
"06/02/2026","399,737","399,737","399,737","399,737","10.22M","0.02%"
"06/01/2026","399,640","399,640","399,640","399,640","17.94M","-0.93%"
"05/29/2026","403,382","403,382","403,382","403,382","86.12M","0.34%"
"05/28/2026","401,996","401,996","401,996","401,996","37.61M","0.36%"
"05/27/2026","400,570","400,570","400,570","400,570","13.90M","-1.17%"
"05/26/2026","405,323","405,323","405,323","405,323","49.45M","-0.54%"
"05/22/2026","407,540","407,540","407,540","407,540","18.63M","0.38%"
"05/21/2026","405,999","405,999","405,999","405,999","10.95M","-1.33%"
"05/20/2026","411,473","411,473","411,473","411,473","16.24M","0.15%"
"05/19/2026","410,848","410,848","410,848","410,848","12.59M","0.26%"
"05/18/2026","409,765","409,765","409,765","409,765","10.31M","-0.35%"
"05/15/2026","411,210","411,210","411,210","411,210","11.07M","0.05%"
"05/14/2026","411,014","411,014","411,014","411,014","13.37M","0.23%"
"05/13/2026","410,076","410,076","410,076","410,076","18.41M","-0.03%"
"05/12/2026","410,215","410,215","410,215","410,215","7.41M","0.04%"
"05/11/2026","410,033","410,033","410,033","410,033","14.60M","0.15%"
"05/08/2026","409,414","409,414","409,414","409,414","5.43M","0.24%"
"05/07/2026","408,442","408,442","408,442","408,442","10.74M","-0.71%"
"05/06/2026","411,348","411,348","411,348","411,348","10.87M","-0.32%"
"05/05/2026","412,649","412,649","412,649","412,649","5.91M","0.33%"
"05/04/2026","411,284","411,284","411,284","411,284","5.68M","-0.20%"
"05/01/2026","412,088","412,088","412,088","412,088","30.50M","0.41%"
"04/30/2026","410,409","410,409","410,409","410,409","78.94M","0.93%"
"04/29/2026","406,621","406,621","406,621","406,621","14.45M","0.56%"
"04/28/2026","404,375","404,375","404,375","404,375","9.22M","0.46%"
"04/27/2026","402,540","402,540","402,540","402,540","12.91M","0.91%"
"04/24/2026","398,905","398,905","398,905","398,905","11.54M","-0.58%"
"04/22/2026","401,238","401,238","401,238","401,238","","0.60%"
"04/21/2026","398,864","398,864","398,864","398,864","","-0.44%"
"04/20/2026","400,634","400,634","400,634","400,634","","0.95%"
"04/17/2026","396,849","396,849","396,849","396,849","","0.76%"
"04/16/2026","393,843","393,843","393,843","393,843","","-0.14%"
"04/15/2026","394,397","394,397","394,397","394,397","","-0.76%"
"04/14/2026","397,409","397,409","397,409","397,409","","0.71%"
"04/13/2026","394,589","394,589","394,589","394,589","","0.01%"
"04/10/2026","394,557","394,557","394,557","394,557","","-1.20%"
"04/09/2026","399,351","399,351","399,351","399,351","","-0.43%"
"04/08/2026","401,082","401,082","401,082","401,082","","-0.04%"
"04/07/2026","401,262","401,262","401,262","401,262","","-1.07%"
"04/02/2026","405,589","405,589","405,589","405,589","","-0.53%"
"04/01/2026","407,766","407,766","407,766","407,766","","-0.26%"
"03/31/2026","408,845","408,845","408,845","408,845","","0.10%"
"03/30/2026","408,421","408,421","408,421","408,421","","0.26%"
"03/27/2026","407,346","407,346","407,346","407,346","","1.51%"
"03/26/2026","401,279","401,279","401,279","401,279","","-0.20%"
"03/25/2026","402,080","402,080","402,080","402,080","","0.70%"
"03/24/2026","399,288","399,288","399,288","399,288","","-0.10%"
"03/23/2026","399,675","399,675","399,675","399,675","","0.02%"
"03/20/2026","399,596","399,596","399,596","399,596","","-0.36%"
"03/19/2026","401,023","401,023","401,023","401,023","","-0.20%"
